days	height	fertilizer
1	0.254445802177846	A
1	0.356618737151924	A
1	0.548984473212234	A
1	0.870365798744994	A
1	0.193278517244228	A
1	0.860956781427376	A
1	0.905313799080127	A
1	0.633264551133228	A
1	0.602900958736427	A
1	0.0592118425314158	A
1	0.197392300945163	A
1	0.169200221173621	A
2	0.658396894713709	A
2	0.368099396621498	A
2	0.737764694165283	A
2	0.476961773665002	A
2	0.687717737086739	A
2	0.950576674212547	A
2	0.364200380291246	A
3	0.745051670431468	A
3	0.89575917980983	A
3	0.203303249562547	A
3	0.624520692498965	A
3	0.120323633629596	A
3	0.256086474197218	A
3	0.370026005354398	A
3	0.0128324026106081	A
3	0.366455125525439	A
3	0.833453727148784	A
3	0.32616778849236	A
3	0.461993443993077	A
4	0.574583916032378	A
4	0.472977085921837	A
4	0.178458534685584	A
4	0.792899430331695	A
4	0.640613957434348	A
4	0.761146533196248	A
4	0.103445974809195	A
4	0.693556323288551	A
4	0.394137995075046	A
4	0.786740198527696	A
4	0.620099352410763	A
4	0.750310563860694	A
4	0.529993131989614	A
4	0.507647931022802	A
5	0.756466388702393	A
5	0.0223590689032183	A
5	0.457345478993376	A
5	0.701800666225608	A
5	0.663867741629171	A
5	0.457718804546553	A
5	0.825325748630954	A
5	0.419843061089826	A
5	0.234597390488489	A
5	0.0677340868472431	A
5	0.0953217368320718	A
5	0.303093719383469	A
6	0.497024502226849	A
6	0.634421531566962	A
6	0.389878929388941	A
6	0.874839427415281	A
6	0.281369898895112	A
6	0.439937987665568	A
6	0.318544896096379	A
6	0.623750864275886	A
7	0.247266081520744	A
7	0.458605862930806	A
7	0.734381059368994	A
7	0.0807366262694509	A
7	0.838849607952093	A
7	0.324944898767473	A
7	0.804463668930112	A
8	0.332238343777135	A
8	0.319867642014287	A
8	0.456503276528867	A
8	0.855023405184814	A
8	0.828325326020905	A
8	0.373739979161957	A
8	0.7449323363835	A
8	0.920592247333843	A
8	0.416548672908295	A
8	0.68282656710168	A
8	0.383327936860344	A
9	0.311795812216587	A
9	0.725541850193014	A
9	0.1942467445139	A
9	0.681491171533709	A
9	0.116621424317903	A
9	0.235259825877923	A
9	0.137333363614744	A
9	0.229644856134352	A
9	0.0564787782204803	A
9	0.615526247759894	A
9	0.83975799549565	A
9	0.746459899217978	A
10	0.764087624809084	A
10	0.436304684718684	A
10	0.392997245294585	A
10	0.777083982655312	A
10	0.579727736515148	A
10	0.627443764407265	A
10	0.338480718938325	A
10	0.258999306475744	A
10	0.951322225291127	A
10	0.607097711753642	A
11	0.204324462916702	A
11	0.123981833574362	A
11	0.458196449549479	A
11	0.885571366923007	A
11	0.573812593511927	A
11	0.935496915966118	A
11	0.701301157222285	A
11	0.341863290746307	A
11	0.413495620111158	A
11	0.142036078982831	A
11	0.0125326765022085	A
11	0.685750813339837	A
11	0.098884892591741	A
11	0.427689167418674	A
11	0.61343016825655	A
12	0.950512010875778	A
12	0.474943845445522	A
12	0.464168294187402	A
12	0.16621557091518	A
12	0.723370071820681	A
12	0.434983177168761	A
12	0.489871042780577	A
12	0.198897400230635	A
12	0.219130720118604	A
12	0.570890663133467	A
12	0.550919190020068	A
13	0.0738533644374303	A
13	0.0340597221026354	A
13	0.616012346688271	A
13	0.889922899650023	A
13	0.573171904756843	A
13	0.537529883508494	A
13	0.504109902084263	A
13	0.944049589549347	A
14	0.486490079735328	A
14	0.654338575395134	A
14	0.5764770002473	A
14	0.228915816182659	A
14	0.247409013061163	A
14	0.698921722389059	A
14	0.433713713428006	A
14	0.167829819731802	A
14	0.715585841719681	A
15	0.10061315538284	A
15	0.828522242819113	A
15	0.589034764522996	A
15	0.533944558061194	A
15	0.315078264092639	A
15	0.434250968556927	A
15	0.479589265431666	A
15	0.173330262749611	A
15	0.507562661019618	A
15	0.0721392563039747	A
15	0.266182768789198	A
15	0.203837039269274	A
